Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-27,301.04891549392994,301.8814392089844,300.81926989095587,301.8814392089844,44444600,0.0,0
2019-11-29,301.2881522678997,301.54653278441947,300.52264742386143,300.7618713378906,36592700,0.0,0
2019-12-02,301.02976401514786,301.09675371136905,297.7571976259916,298.2069396972656,75767800,0.0,0
2019-12-03,295.34580059264533,296.2931470283203,293.89132989440355,296.2070007324219,73941700,0.0,0
2019-12-04,297.3074472371349,298.66622251087904,296.94382227026057,298.03466796875,49080000,0.0,0
2019-12-05,298.77152574353715,298.79065314289886,297.19262463103286,298.570556640625,40709000,0.0,0
2019-12-06,300.5799968628907,301.71870479509755,300.57041856361997,301.29766845703125,48927000,0.0,0
2019-12-09,300.88623147273756,301.5943248171562,300.2738043191931,300.3503723144531,34838500,0.0,0
2019-12-10,300.2929803091114,300.99149539869234,299.326506420952,300.0154724121094,52649800,0.0,0
2019-12-11,300.49395364470286,301.13508660867944,299.9293886894508,300.8671569824219,53429100,0.0,0
2019-12-12,300.87663665457524,304.28318220327753,300.62786368897275,303.46026611328125,96389600,0.0,0
2019-12-13,303.21141423536267,304.93384332615943,302.39804737599707,303.64202880859375,81503900,0.0,0
2019-12-16,305.4601588279114,306.35006456491607,303.5750736720126,305.72808837890625,82749700,0.0,0
2019-12-17,306.1300242492216,306.44578691841895,305.7089878888695,305.79510498046875,61097700,0.0,0
2019-12-18,306.206570174245,306.4457940571936,305.75682810621623,305.8142395019531,48133000,0.0,0
2019-12-19,306.01521899694797,307.14437806424326,305.7472893814507,307.06781005859375,85310500,0.0,0
2019-12-20,308.1543506643141,309.60637616275505,307.12546089065125,308.41400146484375,147142100,1.57,0
2019-12-23,309.24101077423586,309.2987044396944,308.73136383221265,308.8852233886719,52990000,0.0,0
2019-12-24,309.125641618762,309.17370989423375,308.5775224189691,308.8948669433594,20270000,0.0,0
2019-12-26,309.2986816453759,310.54877944483803,309.2890855989799,310.5391540527344,30911200,0.0,0
2019-12-27,311.3084320898398,311.3661257528362,309.90450404741324,310.46221923828125,42528800,0.0,0
2019-12-30,310.5487661661497,310.69300031299906,308.2409024337342,308.75054931640625,49729100,0.0,0
2019-12-31,308.2217254549926,309.7602917166288,307.8563126664616,309.5006408691406,57077300,0.0,0
2020-01-02,311.116134704069,312.4143008339446,310.1449091183746,312.3950500488281,59151200,0.0,0
2020-01-03,308.82751030040816,311.21228925697824,308.76981663857816,310.0295104980469,77709700,0.0,0
2020-01-06,308.1832466068065,311.29885128974877,308.0582338822887,311.2123107910156,55653900,0.0,0
2020-01-07,310.61603160092244,311.11608239853734,309.8659847502042,310.3371887207031,40496400,0.0,0
2020-01-08,310.5391851782771,313.2701263500443,310.2795636768251,311.9912109375,68296000,0.0,0
2020-01-09,313.63548428896365,314.1836033752168,313.02004615442564,314.1066589355469,48473300,0.0,0
2020-01-10,314.72213403868415,314.8855896371985,312.7123931653886,313.2027893066406,53029300,0.0,0
2020-01-13,313.8567174915705,315.3664075707872,313.4047642033984,315.3568115234375,47086800,0.0,0
2020-01-14,314.8952590396653,316.0010935422994,314.28944614068223,314.87603759765625,62832800,0.0,0
2020-01-15,314.7798447682441,316.3857007371558,314.69330426803725,315.58758544921875,72056600,0.0,0
2020-01-16,317.0395846674256,318.2127380371094,316.79918462729125,318.2127380371094,54050300,0.0,0
2020-01-17,318.9628164888585,319.4243658302453,318.14545040253813,319.2032165527344,95846000,0.0,0
2020-01-21,318.19346031990506,319.4243072473823,318.11654522568386,318.5780944824219,77742400,0.0,0
2020-01-22,319.4820725798421,320.16482991811864,318.4531825670632,318.61663818359375,48914900,0.0,0
2020-01-23,317.933914848775,319.4147875413823,316.7607612980079,318.9820556640625,51963000,0.0,0
2020-01-24,319.6743799137042,319.7609204121352,314.7894343559473,316.1452941894531,87578400,0.0,0
2020-01-27,310.6257139648148,312.6354548777158,310.2699265832274,311.0776672363281,84062500,0.0,0
2020-01-28,312.5777491504483,315.26062184358864,311.17382111797815,314.3374938964844,63834000,0.0,0
2020-01-29,315.7702760721008,316.01067612035035,313.8662971255089,314.0778503417969,53888900,0.0,0
2020-01-30,311.9045876274342,315.3182855162808,311.11609786516556,315.09710693359375,75491800,0.0,0
2020-01-31,314.44326332524827,314.6067482702816,308.41404067548547,309.3756408691406,113845600,0.0,0
2020-02-03,310.93343703755886,313.6355313083751,310.80842431363266,311.6738586425781,69083000,0.0,0
2020-02-04,315.4721889978871,317.3376957592133,315.13562305411403,316.4241638183594,62573200,0.0,0
2020-02-05,319.51087597737137,320.2993951549436,317.9723391912993,320.0782165527344,65951100,0.0,0
